Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
GRAB, 19.35B,   3.97$, 17.79%, 34.09%,2023-01-16, 5.92%,145.37%,2023-01-18,2,-9.5718%
YPF, 17.89B,  12.22$, 33.92%,109.97%,2023-01-16, 7.69%,160.37%,2023-01-26,10,-5.5647%
TER, 14.30B, 103.67$, 10.85%, 11.28%,2023-01-25, 3.82%,132.05%,2023-02-09,15,1.8231%
URI, 41.73B, 431.48$, 14.25%, 38.98%,2023-01-25, 3.93%,184.55%,2023-02-09,15,3.9793%
ABNB, 79.78B, 137.01$, 22.22%, 27.19%,2023-02-14, 5.12%,427.23%,2023-02-23,9,-10.3861%
MLM, 29.52B, 382.80$,  7.88%, 12.79%,2023-02-14, 3.46%,176.17%,2023-02-20,6,-6.0345%
NU, 52.49B,   5.24$, 16.98%, 20.20%,2023-02-14, 3.63%,215.39%,2023-02-20,6,-9.1603%
RBLX, 40.37B,  45.08$, 21.72%, 24.63%,2023-02-14, 6.68%,220.00%,2023-02-20,6,-16.6815%
VMC, 31.44B, 195.45$,  7.05%, 16.70%,2023-02-14, 4.07%,184.23%,2023-02-15,1,-5.1573%
ZG, 17.34B,  46.66$,  7.69%, 30.65%,2023-02-14, 4.50%,119.41%,2023-02-20,6,-8.4655%
FIX, 12.50B, 146.81$, 18.89%, 38.91%,2023-02-23, 4.35%,231.68%,2023-03-08,13,-1.2329%
FTAI, 11.77B,  25.71$,  8.84%, 43.53%,2023-02-23, 4.01%,106.66%,2023-03-08,13,-3.5784%
DKS, 16.91B, 146.79$, 11.68%, 36.19%,2023-03-06, 4.63%,529.36%,2023-03-16,10,-1.4510%
AGI, 10.90B,  11.32$,  9.69%, 30.15%,2023-03-16, 5.04%,246.72%,2023-04-16,31,15.8127%
AU, 17.89B,  20.64$, 15.13%, 24.24%,2023-03-16, 3.97%,204.78%,2023-04-18,33,26.6473%
