Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
TKO, 12.72B,  84.27$, 16.00%, 23.18%,2023-01-05, 5.01%,1065.52%,2023-01-22,17,4.9009%
PCAR, 52.25B,  74.05$, 10.55%, 22.28%,2023-01-23, 5.47%,271.54%,2023-02-05,13,-0.5762%
PNR, 14.87B,  55.38$, 13.00%, 18.87%,2023-01-30, 6.10%,263.98%,2023-02-08,9,0.9209%
BIDU, 33.97B, 152.25$, 13.94%, 22.74%,2023-01-31, 4.73%,253.90%,2023-02-08,8,-2.7455%
SYK,140.35B, 278.95$,  9.16%, 23.88%,2023-01-31, 3.34%,217.12%,2023-02-08,8,-5.2303%
EXPD, 16.45B, 118.87$,  9.56%, 15.61%,2023-02-01, 4.58%,208.95%,2023-02-08,7,-5.8720%
GWW, 47.72B, 675.57$, 18.25%, 27.15%,2023-02-01, 5.55%,200.17%,2023-02-20,19,-2.8687%
ACM, 12.53B,  90.58$,  5.06%, 21.55%,2023-02-06, 3.54%,291.84%,2023-02-16,10,-1.3138%
SYM, 13.23B,  16.63$, 15.24%, 29.38%,2023-02-06, 3.85%,371.77%,2023-02-08,2,0.6013%
ANET,102.14B,  35.37$, 11.96%, 21.85%,2023-02-13, 4.90%,226.62%,2023-02-20,7,-4.8989%
GFS, 21.57B,  71.73$, 17.19%, 28.64%,2023-02-13, 5.20%,241.25%,2023-02-20,7,-12.0173%
NU, 52.49B,   5.24$, 16.98%, 20.20%,2023-02-14, 3.63%,215.39%,2023-02-20,6,-9.1603%
FMX,174.10B,  94.90$, 11.27%, 32.71%,2023-02-15, 6.19%,427.41%,2023-03-05,18,-3.4563%
WSO, 20.79B, 324.10$, 11.46%, 21.81%,2023-02-15, 3.27%,216.13%,2023-02-22,7,-5.9056%
USFD, 15.12B,  39.61$,  5.80%, 21.79%,2023-02-16, 3.16%,268.88%,2023-02-23,7,-4.4433%
FIX, 12.50B, 146.81$, 18.89%, 38.91%,2023-02-23, 4.35%,231.68%,2023-03-08,13,-1.2329%
DUOL, 15.19B, 110.98$, 17.12%, 26.03%,2023-02-28, 7.09%,414.94%,2023-03-09,9,6.1272%
SYM, 13.23B,  18.17$,  8.13%, 34.64%,2023-03-05, 7.26%,506.96%,2023-03-06,1,-7.1546%
DKS, 16.91B, 146.79$, 11.68%, 36.19%,2023-03-06, 4.63%,529.36%,2023-03-16,10,-1.4510%
AGI, 10.90B,  11.32$,  9.69%, 30.15%,2023-03-16, 5.04%,246.72%,2023-04-16,31,15.8127%
AU, 17.89B,  20.64$, 15.13%, 24.24%,2023-03-16, 3.97%,204.78%,2023-04-18,33,26.6473%
FNV, 29.54B, 143.50$,  8.21%,  8.21%,2023-03-16, 4.08%,273.68%,2023-04-18,33,6.0836%
SYM, 13.23B,  18.72$,  9.79%, 35.37%,2023-03-16, 9.62%,767.41%,2023-03-27,11,11.8590%
MU,103.04B,  63.54$, 10.66%, 11.35%,2023-03-28, 4.14%,238.14%,2023-04-02,5,-6.1851%
TECK, 20.25B,  43.65$, 18.65%, 24.75%,2023-04-02, 5.82%,464.60%,2023-04-23,21,3.6884%
CMG, 67.57B,  40.20$, 15.53%, 28.56%,2023-04-25, 4.57%,460.74%,2023-05-08,13,1.1349%
GGG, 14.22B,  77.65$,  9.36%, 15.30%,2023-04-26, 7.28%,203.81%,2023-05-09,13,0.6182%
SAIA, 10.01B, 297.77$, 10.63%, 25.74%,2023-04-27, 6.13%,228.28%,2023-05-08,11,-4.6042%
TAP, 12.28B,  65.08$, 15.27%, 23.50%,2023-05-01, 3.49%,410.70%,2023-05-14,13,-2.1205%
UBER,155.13B,  36.52$, 16.21%, 23.77%,2023-05-01, 4.11%,334.60%,2023-05-15,14,2.5192%
CLX, 17.61B, 175.61$,  8.45%, 19.30%,2023-05-02, 3.74%,260.32%,2023-05-07,5,-4.7833%
PEN, 10.60B, 301.04$,  7.13%, 39.35%,2023-05-02, 5.22%,231.10%,2023-05-16,14,4.2320%
BSY, 12.69B,  46.31$,  9.03%, 20.82%,2023-05-08, 9.07%,274.87%,2023-06-22,45,11.6821%
DVA, 12.04B, 100.72$, 15.91%, 22.45%,2023-05-08, 3.53%,316.01%,2023-05-22,14,-3.7530%
LI, 28.28B,  28.22$, 17.71%, 20.04%,2023-05-09, 6.87%,276.51%,2023-05-22,13,1.8427%
PANW,122.63B, 102.15$,  8.09%, 18.71%,2023-05-23, 3.95%,298.97%,2023-07-06,44,21.1835%
SNPS, 69.72B, 434.20$, 14.19%, 26.09%,2023-05-24, 5.57%,226.79%,2023-06-06,13,0.2579%
INTC,101.41B,  31.44$,  5.48%,  8.11%,2023-05-30, 5.53%,202.15%,2023-06-04,5,-5.0254%
CCJ, 18.83B,  30.30$,  9.62%, 17.64%,2023-05-31, 7.62%,349.78%,2023-06-21,21,1.8812%
GBTC, 47.50B,  16.85$, 19.77%, 37.16%,2023-06-19, 9.20%,271.22%,2023-07-11,22,16.9139%
ZG, 17.34B,  51.62$,  8.82%, 30.11%,2023-07-10, 4.51%,336.70%,2023-07-20,10,-0.1550%
PKG, 17.90B, 152.65$, 13.99%, 15.57%,2023-07-24, 4.97%,210.96%,2023-08-06,13,0.2620%
BA,135.11B, 232.80$,  9.04%, 18.81%,2023-07-25, 4.57%,338.82%,2023-08-10,16,1.2543%
RPM, 15.00B, 104.05$, 14.87%, 16.69%,2023-07-25, 5.82%,266.10%,2023-08-07,13,-0.3364%
